Team1,Team2
Oakland Mich. 79, Alabama A&M 69
No. 1 North Carolina 96, No. 16 Oakland Mich. 68
No. 9 Iowa State 64, No. 8 Minnesota 53
No. 5 Villanova 55, No. 12 New Mexico 47
No. 4 Florida 67, No. 13 Ohio 62
No. 6 Wisconsin 57, No. 11 Northern Iowa 52
No. 14 Bucknell 64, No. 3 Kansas 63
No. 10 North Carolina State 75, No. 7 Charlotte 63
No. 2 Connecticut 77, No. 15 Central Florida 71
No. 1 Duke 57, No. 16 Delaware State 46
No. 9 Mississippi State 93, No. 8 Stanford 70
No. 5 Michigan State 89, No. 12 Old Dominion 81
No. 13 Vermont 60, No. 4 Syracuse 57 (OT)
No. 6 Utah 60, No. 11 Texas-El Paso 54
No. 3 Oklahoma 84, No. 14 Niagara 67
No. 7 Cincinnati 76, No. 10 Iowa 64
No. 2 Kentucky 72, No. 15 Eastern Kentucky 64
No. 1 Illinois 67, No. 16 Fairleigh Dickinson 55
No. 9 Nevada 61, No. 8 Texas 57
No. 12 Wisconsin-Milwaukee 83, No. 5 Alabama 73
No. 4 Boston College 85, No. 13 Pennsylvania 65
No. 11 UAB 82, No. 6 LSU 68
No. 3 Arizona 66, No. 14 Utah State 53
No. 7 Southern Illinois 65, No. 10 Saint Mary's Calif. 56
No. 2 Oklahoma State 63, No. 15 Southeastern Louisiana 50
No. 1 Washington 88, No. 16 Montana 77
No. 8 Pacific 79, No. 9 Pittsburgh 71
No. 4 Louisville 68, No. 13 Louisiana-Lafayette 62
No. 5 Georgia Tech 80, No. 12 George Washington 68
No. 6 Texas Tech 78, No. 11 UCLA 66
No. 3 Gonzaga 74, No. 14 Winthrop 64
No. 7 West Virginia 63, No. 10 Creighton 61
No. 2 Wake Forest 70, No. 15 Chattanooga 54
North Carolina State 65, Connecticut 62
North Carolina 92, Iowa State 65
Villanova 76, Florida 65
Wisconsin 71, Bucknell 62
Kentucky 69, Cincinnati 60
Utah 67, Oklahoma 58
Michigan State 72, Vermont 61
Duke 63, Mississippi State 55
Wisconsin-Milwaukee 83, Boston College 75
Illinois 71, Nevada 59
Arizona 85, UAB 63
Oklahoma State 85, Southern Illinois 77
West Virginia 111, Wake Forest 105 (2OT)
Washington 97, Pacific 79
Texas Tech 71, Gonzaga 69
Louisville 76, Georgia Tech 54
Wisconsin 65, North Carolina State 56
North Carolina 67, Villanova 66
Michigan State 78, Duke 68
Kentucky 62, Utah 52
Illinois 77, Wisconsin-Milwaukee 63
Arizona 79, Oklahoma State 78
Louisville 93, Washington 79
West Virginia 65, Texas Tech 60
North Carolina 88, Wisconsin 82
Michigan State 94, Kentucky 88 (2OT)
Illinois 90, Arizona 89 (OT)
Louisville 93, West Virginia 85 (OT)
North Carolina 87, Michigan State 71
Illinois 72, Louisville 57
North Carolina 75, Illinois 70
