Team1,Team2
No. 12 Clemson 70, No. 12 UAB 52
No. 16 Texas-San Antonio 70, No. 16 Alabama State 61
No. 11 Virginia Commonwealth 59, No. 11 Southern Cal 46
No. 16 UNC Asheville 81, No. 16 Arkansas-Little Rock 77 (OT)
No. 1 Ohio State 75, No. 16 Texas-San Antonio 46
No. 8 George Mason 61, No. 9 Villanova 57
No. 5 West Virginia 84, No. 12 Clemson 76
No. 4 Kentucky 59, No. 13 Princeton 57
No. 11 Marquette 66, No. 6 Xavier 55
No. 3 Syracuse 77, No. 14 Indiana State 60
No. 7 Washington 68, No. 10 Georgia 65
No. 2 North Carolina 102, No. 15 Long Island 87
No. 8 Michigan 75, No. 9 Tennessee 45
No. 1 Duke 87, No. 16 Hampton 45
No. 5 Arizona 77, No. 12 Memphis 75
No. 4 Texas 85, No. 13 Oakland 81
No. 6 Cincinnati 78, No. 11 Missouri 63
No. 3 Connecticut 81, No. 14 Bucknell 52
No. 7 Temple 66, No. 10 Penn State 64
No. 2 San Diego State 68, No. 15 Northern Colorado 50
No. 1 Pittsburgh 74, No. 16 UNC Asheville 51
No. 8 Butler 60, No. 9 Old Dominion 58
No. 5 Kansas State 73, No. 12 Utah State 68
No. 4 Wisconsin 72, No. 13 Belmont 58
No. 11 Gonzaga 86, No. 6 St. John's 71
No. 3 BYU 74, No. 14 Wofford 66
No. 7 UCLA 78, No. 10 Michigan State 76
No. 2 Florida 79, No. 15 UC Santa Barbara 51
No. 1 Kansas 72, No. 16 Boston University 53
No. 9 Illinois 73, No. 8 UNLV 62
No. 12 Richmond 69, No. 5 Vanderbilt 66
No. 13 Morehead State 62, No. 4 Louisville 61
No. 11 Virginia Commonwealth 74, No. 6 Georgetown 56
No. 3 Purdue 65, No. 14 St. Peter's 43
No. 10 Florida State 57, No. 7 Texas A∓M 50
No. 2 Notre Dame 69, No. 15 Akron 56
Ohio State 98, George Mason 66
Kentucky 71, West Virginia 63
Marquette 66, Syracuse 62
North Carolina 86, Washington 83
Connecticut 69, Cincinnati 58
San Diego State 71, Temple 64 (2OT)
Duke 73, Michigan 71
Arizona 70, Texas 69
Butler 71, Pittsburgh 70
Florida 73, UCLA 65
BYU 89, Gonzaga 67
Wisconsin 70, Kansas State 65
Richmond 65, Morehead State 48
Virginia Commonwealth 94, Purdue 76
Florida State 71, Notre Dame 57
Kansas 73, Illinois 59
North Carolina 81, Marquette 63
Kentucky 62, Ohio State 60
Connecticut 74, San Diego State 67
Arizona 93, Duke 77
Florida 83, BYU 74 (OT)
Butler 61, Wisconsin 54
Kansas 77, Richmond 57
Virginia Commonwealth 72, Florida State 71 (OT)
Kentucky 76, North Carolina 69
Connecticut 65, Arizona 63
Butler 74, Florida 71 (OT)
Virginia Commonwealth 71, Kansas 61
Butler 70, Virginia Commonwealth 62
Connecticut 56, Kentucky 55
Connecticut 53, Butler 41
