Team1,Team2
Monmouth N.J. 71, Hampton 49
No. 1 Connecticut 72, No. 16 Albany N.Y. 59
No. 8 Kentucky 69, No. 9 UAB 64
No. 5 Washington 75, No. 12 Utah State 61
No. 4 Illinois 78, No. 13 Air Force 69
No. 11 George Mason 75, No. 6 Michigan State 65
No. 3 North Carolina 69, No. 14 Murray State 65
No. 7 Wichita State 86, No. 10 Seton Hall 66
No. 2 Tennessee 63, No. 15 Winthrop 61
No. 1 Villanova 58, No. 16 Monmouth N.J. 45
No. 8 Arizona 94, No. 9 Wisconsin 75
No. 12 Montana 87, No. 5 Nevada 79
No. 4 Boston College 88, No. 13 Pacific 76
No. 11 Wisconsin-Milwaukee 82, No. 6 Oklahoma 74
No. 3 Florida 76, No. 14 South Alabama 50
No. 7 Georgetown 54, No. 10 Northern Iowa 49
No. 2 Ohio State 70, No. 15 Davidson 62
No. 1 Duke 70, No. 16 Southern University 54
No. 8 George Washington 88, No. 9 NC-Wilmington 85(OT)
No. 12 Texas A&M 66, No. 5 Syracuse 58
No. 4 LSU 80, No. 13 Iona 64
No. 6 West Virginia 64, No. 11 Southern Illinois 46
No. 14 Northwestern State 64, No. 3 Iowa 63
No. 10 N.C. State 58, No. 7 California 52
No. 2 Texas 60, No. 15 Pennsylvania 52
No. 1 Memphis 94, No. 16 Oral Roberts 78
No. 9 Bucknell 59, No. 8 Arkansas 55
No. 5 Pittsburgh 79, No. 12 Kent State 64
No. 13 Bradley 77, No. 4 Kansas 73
No. 6 Indiana 87, No. 11 San Diego State 83
No. 3 Gonzaga 79, No. 14 Xavier 75
No. 10 Alabama 90, No. 7 Marquette 85
No. 2 UCLA 78, No. 15 Belmont 44
Wichita State 80, Tennessee 73
Washington 67, Illinois 64
George Mason 65, North Carolina 60
Connecticut 87, Kentucky 83
Florida 82, Wisconsin-Milwaukee 60
Boston College 69, Montana 56
Georgetown 70, Ohio State 52
Villanova 82, Arizona 78
Duke 74, George Washington 61
LSU 58, Texas A&M 57
Texas 75, N.C. State 54
West Virginia 67, Northwestern State 54
Gonzaga 90, Indiana 80
UCLA 62, Alabama 59
Memphis 72, Bucknell 56
Bradley 72, Pittsburgh 66
George Mason 63, Wichita State 55
Connecticut 98, Washington 92(OT)
Villanova 60, Boston College 59(OT)
Florida 57, Georgetown 53
LSU 62, Duke 54
Texas 74, West Virginia 71
Memphis 80, Bradley 64
UCLA 73, Gonzaga 71
George Mason 86, Connecticut 84 (OT)
Florida 75, Villanova 62
LSU 70, Texas 60(OT)
UCLA 50, Memphis 45
Florida 73, George Mason 58
UCLA 59, LSU 45
Florida 73, UCLA 57
