Team1,Team2
Florida A&M 72, Lehigh 57
No. 1 Kentucky 96, No. 16 Florida A&M 76
No. 9 UAB 102, No. 8 Washington 100
No. 12 Pacific 66, No. 5 Providence 58
No. 4 Kansas 78, No. 13 Ill-Chicago 53
No. 6 Boston College 58, No. 11 Utah 51
No. 3 Georgia Tech 65, No. 14 N. Iowa 60
No. 10 Nevada 72, No. 7 Michigan St. 66
No. 2 Gonzaga 76, No. 15 Valparaiso 49
No. 1 St. Joseph's 82, No. 16 Liberty 63
No. 8 Texas Tech 76, No. 9 Charlotte 73
No. 12 Manhattan 75, No. 5 Florida 60
No. 4 Wake Forest 79, No. 13 VCU 78
No. 6 Wisconsin 76, No. 11 Richmond 64
No. 3 Pittsburgh 53, No. 14 Central Florida 44
No. 7 Memphis 59, No. 10 South Carolina 43
No. 2 Oklahoma St. 75, No. 15 E. Washington 56
No. 1 Duke 96, No. 16 Alabama St. 61
No. 8 Seton Hall 80, No. 9 Arizona 76
No. 5 Illinois 72, No. 12 Murray St. 53
No. 4 Cincnnati 80, No. 13 E. Tennessee St. 77
No. 6 North Carolina 63, No. 11 Air Force 52
No. 3 Texas 66, No. 14 Princeton 49
No. 7 Xavier 80, No. 10 Louisville 70
No. 2 Mississippi St. 85, No. 15 Monmouth 52
No. 1 Stanford 71, No. 16 TX-San Antonio 45
No. 8 Alabama 65, No. 9 S. Illinois 64
No. 5 Syracuse 80, No. 12 BYU 75
No. 4 Maryland 86, No. 13 UTEP 83
No. 6 Vanderbilt 71, No. 11 W. Michigan 58
No. 3 N. Carolina St. 61, No. 14 LA-Lafayette 52
No. 7 DePaul 76, No. 10 Dayton 69 (2OT)
No. 2 Connecticut 70, No. 15 Vermont 53
UAB 76, Kentucky 75
Kansas 78, Pacific 63
Georgia Tech 57, Boston College 54
Nevada 91, Gonzaga 72
St. Joseph's 70, Texas Tech 65
Wake Forest 84, Manhattan 80
Pittsburgh 59, Wisconsin 55
Oklahoma St. 70, Memphis 53
Duke 90, Seton Hall 62
Illinois 92, Cincnnati 68
Texas 78, North Carolina 75
Xavier 89, Mississippi St. 74
Alabama 70, Stanford 67
Syracuse 72, Maryland 70
Vanderbilt 75, N. Carolina St. 73
Connecticut 72, DePaul 55
Kansas 100, UAB 74
Georgia Tech 72, Nevada 67
St. Joseph's 84, Wake Forest 80
Oklahoma St. 63, Pittsburgh 51
Duke 72, Illinois 62
Xavier 79, Texas 71
Alabama 80, Syracuse 71
Connecticut 73, Vanderbilt 53
Georgia Tech 79, Kansas 71 (OT)
Oklahoma St. 64, St. Joseph's 62
Duke 66, Xavier 63
Connecticut 87, Alabama 71
Georgia Tech 67, Oklahoma St. 65
Connecticut 79, Duke 78
Connecticut 82, Georgia Tech 73
