Team1,Team2
No. 16 Western Kentucky 59, No. 16 MVSU 58
No. 14 BYU 78, No. 14 Iona 72
No. 16 Vermont 71, No. 16 Lamar 59
No. 12 South Florida 65, No. 12 California 54
No. 1 Kentucky 81, No. 16 Western Kentucky 66
No. 8 Iowa State 77, No. 9 UConn 64
No. 12 VCU 62, No. 5 Wichita State 59
No. 4 Indiana 79, No. 13 New Mexico State 66
No. 11 Colorado 68, No. 6 UNLV 64
No. 3 Baylor 68, No. 14 South Dakota State 60
No. 10 Xavier 67, No. 7 Notre Dame 63
No. 15 Lehigh 75, No. 2 Duke 70
No. 1 Michigan State 89, No. 16 LIU 67
No. 9 Saint Louis 61, No. 8 Memphis 54
No. 5 New Mexico 75, No. 12 Long Beach State 68
No. 4 Louisville 69, No. 13 Davidson 62
No. 6 Murray State 58, No. 11 Colorado State 41
No. 3 Marquette 88, No. 14 BYU 68
No. 7 Florida 71, No. 10 Virginia 45
No. 15 Norfolk State 86, No. 2 Missouri 84
No. 1 Syracuse 72, No. 16 UNC Asheville 65
No. 8 Kansas State 70, No. 9 Southern Mississippi 64
No. 5 Vanderbilt 79, No. 12 Harvard 70
No. 4 Wisconsin 73, No. 13 Montana 49
No. 6 Cincinnati 65, No. 11 Texas 59
No. 3 Florida State 66, No. 14 St. Bonaventure 63
No. 7 Gonzaga 77, No. 10 West Virginia 54
No. 2 Ohio State 78, No. 15 Loyola (Md.) 59
No. 1 North Carolina 77, No. 16 Vermont 58
No. 8 Creighton 58, No. 9 Alabama 57
No. 12 South Florida 58, No. 5 Temple 44
No. 13 Ohio 65, No. 4 Michigan 60
No. 11 N.C. State 79, No. 6 San Diego State 65
No. 3 Georgetown 74, No. 14 Belmont 59
No. 10 Purdue 72, No. 7 Saint Mary's (Calif.) 69
No. 2 Kansas 65, No. 15 Detroit 50
Kentucky 87, Iowa State 71
Indiana 63, VCU 61
Baylor 80, Colorado 63
Xavier 70, Lehigh 58
Michigan State 65, Saint Louis 61
Louisville 59, New Mexico 56
Marquette 62, Murray State 53
Florida 84, Norfolk State 50
Syracuse 75, Kansas State 59
Wisconsin 60, Vanderbilt 57
Cincinnati 62, Florida State 56
Ohio State 73, Gonzaga 66
North Carolina 87, Creighton 73
Ohio 62, South Florida 56
N.C. State 66, Georgetown 63
Kansas 63, Purdue 60
Kentucky 102, Indiana 90
Baylor 75, Xavier 70
Louisville 57, Michigan State 44
Florida 68, Marquette 58
Syracuse 64, Wisconsin 63
Ohio State 81, Cincinnati 66
North Carolina 73, Ohio 65
Kansas 60, N.C. State 57
Kentucky 82, Baylor 70
Louisville 72, Florida 68
Ohio State 77, Syracuse 70
Kansas 80, North Carolina 67
Kentucky 69, Louisville 61
Kansas 64, Ohio State 62
Kentucky 67, Kansas 59
