Team1,Team2
Morehead State 58, Alabama State 43
No. 1 Pittsburgh 72, No. 16 ETSU 62
No. 8 Oklahoma State 77, No. 9 Tennessee 75
No. 12 Wisconsin 61, No. 5 Florida State 59 (OT)
No. 4 Xavier 77, No. 13 Portland State 59
No. 6 UCLA 65, No. 11 Virginia Commonwealth 64
No. 3 Villanova 80, No. 14 American 67
No. 7 Texas 76, No. 10 Minnesota 62
No. 2 Duke 86, No. 15 Binghamton 62
No. 1 North Carolina 101, No. 16 Radford 58
No. 8 LSU 75, No. 9 Butler 71
No. 12 Western Kentucky 76, No. 5 Illinois 72
No. 4 Gonzaga 77, No. 13 Akron 64
No. 6 Arizona State 66, No. 11 Temple 57
No. 3 Syracuse 59, No. 14 Stephen F. Austin 44
No. 10 Michigan 62, No. 7 Clemson 59
No. 2 Oklahoma 82, No. 15 Morgan State 54
No. 1 Louisville 74, No. 16 Morehead State 54
No. 9 Siena 74, No. 8 Ohio State 72 (2OT)
No. 12 Arizona 84, No. 5 Utah 71
No. 13 Cleveland State 84, No. 4 Wake Forest 69
No. 3 Kansas 84, No. 14 North Dakota State 74
No. 11 Dayton 68, No. 6 West Virginia 60
No. 10 Southern California 72, No. 7 Boston College 55
No. 2 Michigan State 77, No. 15 Robert Morris 62
No. 1 Connecticut 103, No. 16 Chattanooga 47
No. 9 Texas A&M 79, No. 8 BYU 66
No. 5 Purdue 61, No. 12 Northern Iowa 56
No. 4 Washington 71, No. 13 Mississippi State 58
No. 3 Missouri 78, No. 14 Cornell 59
No. 6 Marquette 58, No. 11 Utah State 57
No. 10 Maryland 84, No. 7 California 71
No. 2 Memphis 81, No. 15 Cal State Northridge 70
Villanova 89, UCLA 69
Duke 74, Texas 69
Xavier 60, Wisconsin 49
Pittsburgh 84, Oklahoma State 76
North Carolina 84, LSU 70
Oklahoma 73, Michigan 63
Gonzaga 83, Western Kentucky 81
Syracuse 78, Arizona State 67
Arizona 71, Cleveland State 57
Louisville 79, Siena 72
Kansas 60, Dayton 43
Michigan State 74, Southern California 69
Memphis 89, Maryland 70
Connecticut 92, Texas A&M 66
Purdue 76, Washington 74
Missouri 83, Marquette 79
Pittsburgh 60, Xavier 55
Villanova 77, Duke 54
Oklahoma 84, Syracuse 71
North Carolina 98, Gonzaga 77
Louisville 103, Arizona 64
Michigan State 67, Kansas 62
Connecticut 72, Purdue 60
Missouri 102, Memphis 91
Villanova 78, Pittsburgh 76
North Carolina 72, Oklahoma 60
Michigan State 64, Louisville 52
Connecticut 82, Missouri 75
Michigan State 82, Connecticut 73
North Carolina 83, Villanova 69
North Carolina 89, Michigan State 72
