Team1,Team2
Siena 81, Alcorn St. 77
No. 1 Duke 84, No. 16 Winthrop 37
No. 8 Notre Dame 82, No. 9 Charlotte 63
No. 5 Indiana 75, No. 12 Utah 56
No. 13 UNC Wilmington 93, No. 4 Southern California 89 (OT)
No. 6 California 82, No. 11 Pennsylvania 75
No. 3 Pittsburgh 71, No. 14 Central Conn. St. 54
No. 10 Kent St. 69, No. 7 Oklahoma St. 61
No. 2 Alabama 86, No. 15 Fla. Atlantic 78
No. 1 Cincinnati 90, No. 16 Boston U. 52
No. 8 UCLA 80, No. 9 Mississippi 58
No. 12 Missouri 93, No. 5 Miami (Fla.) 80
No. 4 Ohio St. 69, No. 13 Davidson 64
No. 11 Wyoming 73, No. 6 Gonzaga 66
No. 3 Arizona 86, No. 14 UC Santa Barb. 81
No. 7 Xavier 70, No. 10 Hawaii 58
No. 2 Oklahoma 71, No. 15 Ill.-Chicago 63
No. 1 Maryland 85, No. 16 Siena 70
No. 8 Wisconsin 80, No. 9 St. John's (N.Y.) 70
No. 12 Tulsa 71, No. 5 Marquette 69
No. 4 Kentucky 83, No. 13 Valparaiso 68
No. 11 Southern Ill. 76, No. 6 Texas Tech 68
No. 3 Georgia 85, No. 14 Murray St. 68
No. 7 North Carolina St. 69, No. 10 Michigan St. 58
No. 2 Connecticut 78, No. 15 Hampton 67
No. 1 Kansas 70, No. 16 Holy Cross 59
No. 8 Stanford 84, No. 9 Western Ky. 68
No. 12 Creighton 83, No. 5 Florida 82 (2OT)
No. 4 Illinois 93, No. 13 San Diego St. 64
No. 6 Texas 70, No. 11 Boston College 57
No. 3 Mississippi St. 70, No. 14 McNeese St. 58
No. 7 Wake Forest 83, No. 10 Pepperdine 74
No. 2 Oregon 81, No. 15 Montana 62
Duke 84, Notre Dame 77
Indiana 76, UNC Wilmington 67
Pittsburgh 63, California 50
Kent St. 71, Alabama 58
UCLA 105, Cincinnati 101 (2OT)
Missouri 83, Ohio St. 67
Arizona 68, Wyoming 60
Oklahoma 78, Xavier 65
Maryland 87, Wisconsin 57
Kentucky 87, Tulsa 82
Southern Ill. 77, Georgia 75
Connecticut 77, North Carolina St. 74
Kansas 86, Stanford 63
Illinois 72, Creighton 60
Texas 68, Mississippi St. 64
Oregon 92, Wake Forest 87
Indiana 74, Duke 73
Kent St. 78, Pittsburgh 73 (OT)
Missouri 82, UCLA 73
Oklahoma 88, Arizona 67
Maryland 78, Kentucky 68
Connecticut 71, Southern Ill. 59
Kansas 73, Illinois 69
Oregon 72, Texas 70
Indiana 81, Kent St. 69
Oklahoma 81, Missouri 75
Maryland 90, Connecticut 82
Kansas 104, Oregon 86
Indiana 73, Oklahoma 64
Maryland 97, Kansas 88
Maryland 64, Indiana 52
