2017-03-14  Mt St Mary's             67  New Orleans              66 P        NCAA Tournament Dayton, OH
2017-03-14 @Syracuse                 90  UNC Greensboro           77 P        NIT Tournament
2017-03-14  St Francis PA            78 @Jacksonville             76 P        CIT
2017-03-14  Mississippi              91 @Monmouth NJ              83 P        NIT Tournament
2017-03-14 @Campbell                 98  Houston Bap              79 P        CIT
2017-03-14 @Illinois                 82  Valparaiso               57 P        NIT Tournament
2017-03-14 @Samford                  78  Canisius                 74 P        CIT
2017-03-14  Oakland                  74 @Clemson                  69 P        NIT Tournament
2017-03-14 @Georgia Tech             75  Indiana                  63 P        NIT Tournament
2017-03-14 @Colorado St              81  Col Charleston           74 P        NIT Tournament
2017-03-14  Kansas St                95  Wake Forest              88 P        NCAA Tournament Dayton, OH
2017-03-14  Richmond                 71 @Alabama                  64 P        NIT Tournament
2017-03-14  Boise St                 73 @Utah                     68 P        NIT Tournament
2017-03-14  CS Bakersfield           73 @California               66 P        NIT Tournament
2017-03-15  UC Davis                 67  NC Central               63 P        NCAA Tournament Dayton, OH
2017-03-15 @Iowa                     87  South Dakota             75 P        NIT Tournament
2017-03-15  Belmont                  78 @Georgia                  69 P        NIT Tournament
2017-03-15 @UCF                      79  Colorado                 74 P        NIT Tournament
2017-03-15 @PFW                      88  Ball St                  80 P        CIT
2017-03-15 @UMBC                     88  Fairfield                83 P        CIT
2017-03-15  Utah Valley              74 @Ga Southern              49 P        CBI
2017-03-15  Loyola MD                73 @George Mason             58 P        CBI
2017-03-15 @Coastal Car              83  Hampton                  67 P        CBI
2017-03-15 @G Washington             73  Toledo                   69 P        CBI
2017-03-15  Akron                    78 @Houston                  75 P        NIT Tournament
2017-03-15 @TCU                      66  Fresno St                59 P        NIT Tournament
2017-03-15 @TAM C. Christi           80  Georgia St               64 P        CIT
2017-03-15 @IL Chicago               71  Stony Brook              69 P        CBI
2017-03-15 @Missouri KC              92  WI Green Bay             82 P        CBI
2017-03-15 @Rice                     85  San Francisco            76 P        CBI
2017-03-15  UT Arlington            105 @BYU                      89 P        NIT Tournament
