2014-03-18  Robert Morris            89 @St John's                78 P        NIT Tournament
2014-03-18 @Florida St               58  FL Gulf Coast            53 P        NIT Tournament
2014-03-18 @Georgetown               77  West Virginia            65 P        NIT Tournament
2014-03-18  Belmont                  80 @WI Green Bay             65 P        NIT Tournament
2014-03-18 @Minnesota                88  High Point               81 P        NIT Tournament
2014-03-18 @Arkansas                 91  Indiana St               71 P        NIT Tournament
2014-03-18 @Clemson                  78  Georgia St               66 P        NIT Tournament
2014-03-18 @Missouri                 85  Davidson                 77 P        NIT Tournament
2014-03-18 @St Mary's CA             70  Utah                     58 P        NIT Tournament
2014-03-18 @Siena                    66  Stony Brook              55 P        CBI Tournament
2014-03-18 @Sam Houston St           71  Alabama St               49 P        CIT Tournament
2014-03-18  VMI                     111 @Canisius                100 P        CIT Tournament
2014-03-18  Wright St                73 @East Carolina            59 P        CIT Tournament
2014-03-18 @E Michigan               58  Norfolk St               54 P        CIT Tournament
2014-03-18 @ETSU                     79  Chattanooga              66 P        CIT Tournament
2014-03-18  Columbia                 58 @Valparaiso               56 P        CIT Tournament
2014-03-18 @San Diego                87  Portland St              65 P        CIT Tournament
2014-03-18  Albany NY                71  Mt St Mary's             64 P        NCAA Tournament Dayton OH
2014-03-18  NC State                 74  Xavier                   59 P        NCAA Tournament Dayton OH
2014-03-19  Illinois                 66 @Boston Univ              62 P        NIT Tournament
2014-03-19 @Louisiana Tech           89  Iona                     88 P        NIT Tournament
2014-03-19 @Georgia                  63  Vermont                  56 P        NIT Tournament
2014-03-19 @Southern Miss            66  Toledo                   59 P        NIT Tournament
2014-03-19 @SMU                      68  UC Irvine                54 P        NIT Tournament
2014-03-19  LSU                      71 @San Francisco            63 P        NIT Tournament
2014-03-19 @California               77  Utah Valley              64 P        NIT Tournament
2014-03-19  Princeton                56 @Tulane                   55 P        CBI Tournament
2014-03-19 @Penn St                  69  Hampton                  65 P        CBI Tournament
2014-03-19  Radford                  96 @Oregon St                92 P        CBI Tournament
2014-03-19 @Old Dominion             72  S Dakota St              65 P        CBI Tournament
2014-03-19 @Texas A&M                59  Wyoming                  43 P        CBI Tournament
2014-03-19 @Illinois St              77  Morehead St              67 P        CBI Tournament
2014-03-19  Fresno St                61 @UTEP                     56 P        CBI Tournament
2014-03-19  TAM C. Christi           82 @N Colorado               71 P        CIT Tournament
2014-03-19 @Yale                     69  Quinnipiac               68 P        CIT Tournament
2014-03-19  Towson                   63 @SC Upstate               60 P        CIT Tournament
2014-03-19 @Ohio                     64  Cleveland St             62 P        CIT Tournament
2014-03-19 @PFW                      97  Akron                    91 P        CIT Tournament
