2018-03-13  Radford                  71  LIU Brooklyn             61 P        NCAA Tournament Dayton OH
2018-03-13 @Baylor                   80  Wagner                   59 P        NIT
2018-03-13 @Louisville               66  N Kentucky               58 P        NIT
2018-03-13 @MTSU                     91  Vermont                  64 P        NIT
2018-03-13 @WKU                      79  Boston College           62 P        NIT
2018-03-13 @Oklahoma St              80  FL Gulf Coast            68 P        NIT
2018-03-13 @Notre Dame               84  Hampton                  63 P        NIT
2018-03-13 @Utah Valley              87  E Washington             65 P        CBI
2018-03-13  St Bonaventure           65  UCLA                     58 P        NCAA Tournament Dayton OH
2018-03-13 @St Mary's CA             89  SE Louisiana             45 P        NIT
2018-03-13 @Oregon                   99  Rider                    86 P        NIT
2018-03-13 @USC                     103  UNC Asheville            98 PO2      NIT
2018-03-14  TX Southern              64  NC Central               46 P        NCAA Tournament Dayton OH
2018-03-14 @LSU                      84  Louisiana                76 P        NIT
2018-03-14 @Marquette                67  Harvard                  60 P        NIT
2018-03-14 @E Michigan               83  Niagara                  65 P        CIT
2018-03-14 @Campbell                 97  Miami OH                 87 P        CBI
2018-03-14  Jacksonville St          80 @Canisius                 78 PO1      CBI
2018-03-14 @Penn St                  63  Temple                   57 P        NIT
2018-03-14 @IL Chicago               84  St Francis PA            61 P        CIT
2018-03-14 @UT San Antonio           76  Lamar                    69 P        CIT
2018-03-14  North Texas              90 @South Dakota             77 P        CBI
2018-03-14 @New Orleans              77  UTRGV                    74 P        CBI
2018-03-14 @Mississippi St           66  Nebraska                 59 P        NIT
2018-03-14 @Utah                     69  UC Davis                 59 P        NIT
2018-03-14  Syracuse                 60  Arizona St               56 P        NCAA Tournament Dayton OH
2018-03-14 @Stanford                 86  BYU                      83 P        NIT
2018-03-14 @Washington               77  Boise St                 74 P        NIT
2018-03-14 @San Francisco            72  Colgate                  68 P        CBI
2018-03-14  Mercer                   78 @Grand Canyon             73 P        CBI
2018-03-14  Cent Arkansas            92 @Seattle                  90 PO1      CBI
2018-03-15  Rhode Island             83  Oklahoma                 78 PO1      NCAA Tournament Pittsburgh PA
2018-03-15  Tennessee                73  Wright St                47 P        NCAA Tournament Dallas TX
2018-03-15  Gonzaga                  68  UNC Greensboro           64 P        NCAA Tournament Boise ID
2018-03-15  Kansas                   76  Penn                     60 P        NCAA Tournament Wichita KS
2018-03-15  Duke                     89  Iona                     67 P        NCAA Tournament Pittsburgh PA
2018-03-15  Loyola-Chicago           64  Miami FL                 62 P        NCAA Tournament Dallas TX
2018-03-15  Ohio St                  81  S Dakota St              73 P        NCAA Tournament Boise ID
2018-03-15  Seton Hall               94  NC State                 83 P        NCAA Tournament Wichita KS
2018-03-15  Kentucky                 78  Davidson                 73 P        NCAA Tournament Boise ID
2018-03-15  Houston                  67  San Diego St             65 P        NCAA Tournament Wichita KS
2018-03-15  Texas Tech               70  SF Austin                60 P        NCAA Tournament Dallas TX
2018-03-15 @Austin Peay              80  ULM                      66 P        CIT
2018-03-15  Alabama                  86  Virginia Tech            83 P        NCAA Tournament Pittsburgh PA
2018-03-15  Buffalo                  89  Arizona                  68 P        NCAA Tournament Boise ID
2018-03-15  Michigan                 61  Montana                  47 P        NCAA Tournament Wichita KS
2018-03-15  Villanova                87  Radford                  61 P        NCAA Tournament Pittsburgh, PA
