Team1,Team2
Niagara 77, Florida A&M 69
No. 1 Florida 112, No. 16 Jackson State 69
No. 9 Purdue 72, No. 8 Arizona 63
No. 5 Butler 57, No. 12 Old Dominion 46
No. 4 Maryland 82, No. 13 Davidson 70
No. 11 Winthrop 74, No. 6 Notre Dame 64
No. 3 Oregon 58, No. 14 Miami (Ohio) 56
No. 7 UNLV 67, No. 10 Georgia Tech 63
No. 2 Wisconsin 76, No. 15 Texas A&am;M-Corpus Christi 63
No. 1 Kansas 107, No. 16 Niagara 67
No. 8 Kentucky 67, No. 9 Villanova 58
No. 5 Virginia Tech 54, No. 12 Illinois 52
No. 4 Southern Illinois 61, No. 13 Holy Cross 51
No. 11 Virginia Commonwealth 79, No. 6 Duke 77
No. 3 Pittsburgh 79, No. 14 Wright State 58
No. 7 Indiana 70, No. 10 Gonzaga 57
No. 2 UCLA 70, No. 15 Weber State 42
No. 1 North Carolina 86, No. 16 Eastern Kentucky 65
No. 9 Michigan State 61, No. 8 Marquette 49
No. 5 Southern California 77, No. 12 Arkansas 60
No. 4 Texas 79, No. 13 New Mexico State 67
No. 6 Vanderbilt 77, No. 11 George Washington 44
No. 3 Washington State 70, No. 14 Oral Roberts 54
No. 7 Boston College 84, No. 10 Texas Tech 75
No. 2 Georgetown 80, No. 15 Belmont 55
No. 1 Ohio State 78, No. 16 C. Connecticut State 57
No. 9 Xavier 79, No. 8 Brigham Young 77
No. 5 Tennessee 121, No. 12 Long Beach State 86
No. 4 Virginia 84, No. 13 Albany 57
No. 6 Louisville 78, No. 11 Stanford 58
No. 3 Texas A&M 68, No. 14 Pennsylvania 52
No. 7 Nevada 77, No. 10 Creighton 71
No. 2 Memphis 73, No. 15 North Texas 58
Florida 74, Purdue 67
Butler 62, Maryland 59
Oregon 75, Winthrop 61
UNLV 74, Wisconsin 68
Southern Illinois 63, Virginia Tech 48
Kansas 88, Kentucky 76
Pittsburgh 84, Virginia Commonwealth 79
UCLA 54, Indiana 49
North Carolina 81, Michigan State 67
Southern California 87, Texas 68
Vanderbilt 78, Washington State 74
Georgetown 62, Boston College 55
Ohio State 78, Xavier 71
Tennessee 77, Virginia 74
Texas A&M 72, Louisville 69
Memphis 78, Nevada 62
Florida 65, Butler 57
Oregon 76, UNLV 72
Kansas 61, Southern Illinois 58
UCLA 64, Pittsburgh 55
Georgetown 66, Vanderbilt 65
North Carolina 74, Southern California 64
Memphis 65, Texas A&M 64
Ohio State 85, Tennessee 84
Florida 85, Oregon 77
UCLA 68, Kansas 55
Georgetown 96, North Carolina 84
Ohio State 92, Memphis 76
Ohio State 67, Georgetown 60
Florida 76, UCLA 66
Florida 84, Ohio State 75
