Team1,Team2
Arkansas-Pine Bluff 61, Winthrop 44
No. 1 Kansas 90, No. 16 Lehigh 74
No. 9 Northern Iowa 69, No. 8 UNLV 66
No. 5 Michigan State 70, New Mexico St. 67
No. 4 Maryland 89, No. 13 Houston 77
No. 6 Tennessee 62, No. 11 San Diego St. 59
No. 14 Ohio 97, No. 3 Georgetown 83
No. 10 Georgia Tech 64, No. 7 Oklahoma State 59
No. 2 Ohio State 68, No. 15 UC Santa Barbara 51
No. 1 Syracuse 79, No. 16 Vermont 56
No. 8 Gonzaga 67, No. 9 Florida State 60
No. 5 Butler 77, No. 12 UTEP 59
No. 13 Murray State 66, No. 4 Vanderbilt 65
No. 6 Xavier 65, No. 11 Minnesota 54
No. 3 Pittsburgh 89, No. 14 Oakland Mich. 66
No. 7 BYU 99, No. 10 Florida 92 (2OT)
No. 2 Kansas State 82, No. 15 North Texas 62
No. 1 Kentucky 100, No. 16 East Tennessee St. 71
No. 9 Wake Forest 81, No. 8 Texas 80 (OT)
No. 12 Cornell 78, No. 5 Temple 65
No. 4 Wisconsin 53, No. 13 Wofford 49
No. 11 Washington 80, No. 6 Marquette 78
No. 3 New Mexico 62, No. 14 Montana 57
No. 10 Missouri 86, No. 7 Clemson 78
No. 2 West Virginia 77, No. 15 Morgan State 50
No. 1 Duke 73, No. 16 Arkansas-Pine Bluff 44
No. 8 California 77, No. 9 Louisville 62
No. 5 Texas A&M 69, No. 12 Utah State 53
No. 4 Purdue 72, No. 13 Siena 64
No. 11 Old Dominion 51, No. 6 Notre Dame 50
No. 3 Baylor 68, No. 14 Sam Houston St. 59
No. 10 St. Mary's 80, No. 7 Richmond 71
No. 2 Villanova 73, No. 15 Robert Morris 70
Northern Iowa 69, Kansas 67
Michigan State 85, Maryland 83
Tennessee 83, Ohio 68
Ohio State 75, Georgia Tech 66
Syracuse 87, Gonzaga 65
Butler 54, Murray State 52
Xavier 71, Pittsburgh 68
Kansas State 84, BYU 72
Kentucky 90, Wake Forest 60
Cornell 87, Wisconsin 69
Washington 82, New Mexico 64
West Virginia 68, Missouri 59
Duke 68, California 53
Purdue 63, Texas A&M 61 (OT)
Baylor 76, Old Dominion 68
Saint Mary's 75, Villanova 68
Michigan State 59, Northern Iowa 52
Tennessee 76, Ohio State 73
Butler 63, Syracuse 59
Kansas State 101, Xavier 96 (2OT)
Kentucky 62, Cornell 45
West Virginia 69, Washington 56
Duke 70, Purdue 57
Baylor 72, Saint Mary’s Calif. 49
Michigan State 70, Tennessee 69
Butler 63, Kansas State 56
West Virginia 73, Kentucky 66
Duke 78, Baylor 71
Butler 52, Michigan State 50
Duke 78, West Virginia 57
Duke 61, Butler 59
