Team1,Team2
UNC-Asheville 92, Texas Southern 84 (OT)
No. 1 Kentucky 95, No. 16 IUPUI 64
No. 9 Utah 60, No. 8 Oregon 58
No. 5 Wisconsin 81, No. 12 Weber St. 74
No. 13 Tulsa 84, No. 4 Dayton 71
No. 6 Missouri 72, No. 11 S. Illinois 71
No. 3 Marquette 72, No. 14 Holy Cross 68
No. 7 Indiana 67, No. 10 Alabama 62
No. 2 Pittsburgh 87, No. 15 Wagner 61
No. 1 Arizona 80, No. 16 Vermont 51
No. 9 Gonzaga 74, No. 8 Cincinnati 69
No. 5 Notre Dame 70, No. 12 WI-Milwaulee 69
No. 4 Illinois 65, No. 13 W. Kentucky 60
No. 11 C. Michigan 79, No. 6 Creighton 73
No. 3 Duke 67, No. 14 Colorado St. 57
No. 10 Arizona St. 84, No. 7 Memphis 71
No. 2 Kansas 64, No. 15 Utah St. 61
No. 1 Texas 82, No. 16 UNC-Asheville 61
No. 9 Purdue 80, No. 8 LSU 56
No. 5 Connecticut 58, No. 12 BYU 53
No. 4 Stanford 77, No. 13 San Diego 69
No. 6 Maryland 75, No. 11 UNC-Wilmington 73
No. 3 Xavier 71, No. 14 Troy St. 59
No. 7 Michigan St. 79, No. 10 Colorado 64
No. 2 Florida 85, No. 15 Sam Houston St. 55
No. 1 Oklahoma 71, No. 16 S. Carolina St. 54
No. 8 California 76, No. 9 N.C. State 74 (OT)
No. 12 Butler 47, No. 5 Mississippi St. 46
No. 4 Louisville 86, No. 13 Austin Peay 64
No. 6 Oklahoma St. 77, No. 11 Pennsylvania 63
No. 3 Syracuse 76, No. 14 Manhattan 65
No. 10 Auburn 65, No. 7 St. Joseph's 63 (OT)
No. 2 Wake Forest 76, No. 15 E. Tennessee St. 73
Kentucky 74, Utah 54
Wisconsin 61, Tulsa 60
Marquette 101, Missouri 92 (OT)
Pittsburgh 74, Indiana 52
Arizona 96, Gonzaga 95 (2OT)
Notre Dame 68, Illinois 60
Duke 86, C. Michigan 60
Kansas 108, Arizona St. 76
Texas 77, Purdue 67
Connecticut 85, Stanford 74
Maryland 77, Xavier 64
Michigan St. 68, Florida 46
Oklahoma 74, California 65
Buter 79, Louisville 71
Syracuse 68, Oklahoma St. 56
Auburn 68, Wake Forest 62
Kentucky 63, Wisconsin 57
Marquette 77, Pittsburgh 74
Arizona 88, Notre Dame 71
Kansas 69, Duke 65
Texas 82, Connecticut 78
Michigan St. 60, Maryland 58
Oklahoma 65, Butler 54
Syracuse 79, Auburn 78
Marquette 83, Kentucky 69
Kansas 78, Arizona 75
Texas 85, Michigan St. 76
Syracuse 63, Oklahoma 47
Kansas 94, Marquette 61
Syracuse 95, Texas 84
Syracuse 81, Kansas 78
