Team1,Team1_Score,Team2,Team2_Score,Winner,Year
Liberty,66,Samford,58,Team1,2017
Campbell,73,TN Martin,56,Team1,2017
UT Arlington,85,Akron,69,Team1,2017
Utah Valley,85,Rice,79,Team1,2017
IL Chicago,80,G Washington,71,Team1,2017
TAM C. Christi,82,Weber St,73,Team1,2017
Illinois,71,Boise St,56,Team1,2017
Wyoming,72,Missouri KC,61,Team1,2017
CS Bakersfield,81,Colorado St,63,Team1,2017
Texas St,64,Idaho,55,Team1,2017
TCU,86,Richmond,68,Team1,2017
Georgia Tech,74,Mississippi,66,Team1,2017
UCF,68,Illinois,58,Team1,2017
Coastal Car,89,IL Chicago,78,Team1,2017
CS Bakersfield,80,UT Arlington,76,Team1,2017
Wyoming,74,Utah Valley,68,Team1,2017
Oregon,69,Michigan,68,Team1,2017
Gonzaga,61,West Virginia,58,Team1,2017
Kansas,98,Purdue,66,Team1,2017
Xavier,73,Arizona,71,Team1,2017
North Carolina,92,Butler,80,Team1,2017
South Carolina,70,Baylor,50,Team1,2017
Kentucky,86,UCLA,75,Team1,2017
Florida,84,Wisconsin,83,Team1,2017
Furman,79,Campbell,64,Team1,2017
St Peter's,49,Texas St,44,Team1,2017
Gonzaga,83,Xavier,59,Team1,2017
Oregon,74,Kansas,60,Team1,2017
UMBC,80,Liberty,68,Team1,2017
South Carolina,77,Florida,70,Team1,2017
TAM C. Christi,78,PFW,62,Team1,2017
North Carolina,75,Kentucky,73,Team1,2017
Coastal Car,91,Wyoming,81,Team1,2017
Georgia Tech,76,CS Bakersfield,61,Team1,2017
TCU,68,UCF,53,Team1,2017
TAM C. Christi,79,UMBC,61,Team1,2017
Wyoming,81,Coastal Car,57,Team1,2017
St Peter's,77,Furman,51,Team1,2017
TCU,88,Georgia Tech,56,Team1,2017
Wyoming,83,Coastal Car,59,Team1,2017
St Peter's,62,TAM C. Christi,61,Team1,2017
Gonzaga,77,South Carolina,73,Team1,2017
North Carolina,77,Oregon,76,Team1,2017
North Carolina,71,Gonzaga,65,Team1,2017
Radford,71,LIU Brooklyn,61,Team1,2018
Baylor,80,Wagner,59,Team1,2018
Louisville,66,N Kentucky,58,Team1,2018
MTSU,91,Vermont,64,Team1,2018
WKU,79,Boston College,62,Team1,2018
Oklahoma St,80,FL Gulf Coast,68,Team1,2018
Notre Dame,84,Hampton,63,Team1,2018
Utah Valley,87,E Washington,65,Team1,2018
St Bonaventure,65,UCLA,58,Team1,2018
St Mary's CA,89,SE Louisiana,45,Team1,2018
Oregon,99,Rider,86,Team1,2018
USC,103,UNC Asheville,98,Team1,2018
TX Southern,64,NC Central,46,Team1,2018
LSU,84,Louisiana,76,Team1,2018
Marquette,67,Harvard,60,Team1,2018
E Michigan,83,Niagara,65,Team1,2018
Campbell,97,Miami OH,87,Team1,2018
Jacksonville St,80,Canisius,78,Team1,2018
Penn St,63,Temple,57,Team1,2018
IL Chicago,84,St Francis PA,61,Team1,2018
UT San Antonio,76,Lamar,69,Team1,2018
North Texas,90,South Dakota,77,Team1,2018
New Orleans,77,UTRGV,74,Team1,2018
Mississippi St,66,Nebraska,59,Team1,2018
Utah,69,UC Davis,59,Team1,2018
Syracuse,60,Arizona St,56,Team1,2018
Stanford,86,BYU,83,Team1,2018
Washington,77,Boise St,74,Team1,2018
San Francisco,72,Colgate,68,Team1,2018
Mercer,78,Grand Canyon,73,Team1,2018
Cent Arkansas,92,Seattle,90,Team1,2018
Rhode Island,83,Oklahoma,78,Team1,2018
Tennessee,73,Wright St,47,Team1,2018
Gonzaga,68,UNC Greensboro,64,Team1,2018
Kansas,76,Penn,60,Team1,2018
Duke,89,Iona,67,Team1,2018
Loyola-Chicago,64,Miami FL,62,Team1,2018
Ohio St,81,S Dakota St,73,Team1,2018
Seton Hall,94,NC State,83,Team1,2018
Kentucky,78,Davidson,73,Team1,2018
Houston,67,San Diego St,65,Team1,2018
Texas Tech,70,SF Austin,60,Team1,2018
Austin Peay,80,ULM,66,Team1,2018
Alabama,86,Virginia Tech,83,Team1,2018
Buffalo,89,Arizona,68,Team1,2018
Michigan,61,Montana,47,Team1,2018
Villanova,87,Radford,61,Team1,2018
Florida,77,St Bonaventure,62,Team1,2018
Texas A&M,73,Providence,69,Team1,2018
Purdue,74,CS Fullerton,48,Team1,2018
Marshall,81,Wichita St,75,Team1,2018
Cincinnati,68,Georgia St,53,Team1,2018
North Carolina,84,Lipscomb,66,Team1,2018
Butler,79,Arkansas,62,Team1,2018
West Virginia,85,Murray St,68,Team1,2018
Nevada,87,Texas,83,Team1,2018
Kansas St,69,Creighton,59,Team1,2018
Michigan St,82,Bucknell,78,Team1,2018
Auburn,62,Col Charleston,58,Team1,2018
UMBC,74,Virginia,54,Team1,2018
Florida St,67,Missouri,54,Team1,2018
Clemson,79,New Mexico St,68,Team1,2018
C Michigan,98,Wofford,94,Team1,2018
Xavier,102,TX Southern,83,Team1,2018
Syracuse,57,TCU,52,Team1,2018
Penn St,73,Notre Dame,63,Team1,2018
San Diego,67,Portland St,64,Team1,2018
Villanova,81,Alabama,58,Team1,2018
Duke,87,Rhode Island,62,Team1,2018
Kentucky,95,Buffalo,75,Team1,2018
Loyola-Chicago,63,Tennessee,62,Team1,2018
Kansas,83,Seton Hall,79,Team1,2018
Gonzaga,90,Ohio St,84,Team1,2018
Texas Tech,69,Florida,66,Team1,2018
Michigan,64,Houston,63,Team1,2018
N Colorado,81,Drake,72,Team1,2018
Mississippi St,78,Baylor,77,Team1,2018
Marquette,101,Oregon,92,Team1,2018
Louisville,84,MTSU,68,Team1,2018
Purdue,76,Butler,73,Team1,2018
Syracuse,55,Michigan St,53,Team1,2018
Texas A&M,86,North Carolina,65,Team1,2018
Nevada,75,Cincinnati,73,Team1,2018
Clemson,84,Auburn,53,Team1,2018
Kansas St,50,UMBC,43,Team1,2018
Florida St,75,Xavier,70,Team1,2018
West Virginia,94,Marshall,71,Team1,2018
Jacksonville St,80,Cent Arkansas,59,Team1,2018
San Francisco,78,Utah Valley,73,Team1,2018
Oklahoma St,71,Stanford,65,Team1,2018
Campbell,71,New Orleans,69,Team1,2018
North Texas,96,Mercer,67,Team1,2018
Utah,95,LSU,71,Team1,2018
St Mary's CA,85,Washington,81,Team1,2018
WKU,79,USC,75,Team1,2018
Sam Houston St,69,E Michigan,62,Team1,2018
Penn St,85,Marquette,80,Team1,2018
Mississippi St,79,Louisville,56,Team1,2018
IL Chicago,83,Austin Peay,81,Team1,2018
N Colorado,86,San Diego,75,Team1,2018
North Texas,90,Jacksonville S,68,Team1,2018
WKU,92,Oklahoma St,84,Team1,2018
Utah,67,St Mary's CA,58,Team1,2018
Loyola-Chicago,69,Nevada,68,Team1,2018
Michigan,99,Texas A&M,72,Team1,2018
Kansas St,61,Kentucky,58,Team1,2018
Florida St,75,Gonzaga,60,Team1,2018
Sam Houston St,76,UT San Antonio,69,Team1,2018
San Francisco,65,Campbell,62,Team1,2018
Kansas,80,Clemson,76,Team1,2018
Villanova,90,West Virginia,78,Team1,2018
Duke,69,Syracuse,65,Team1,2018
Texas Tech,78,Purdue,65,Team1,2018
Liberty,84,C Michigan,71,Team1,2018
Loyola-Chicago,78,Kansas St,62,Team1,2018
Michigan,58,Florida St,54,Team1,2018
Villanova,71,Texas Tech,59,Team1,2018
Kansas,85,Duke,81,Team1,2018
San Francisco,72,North Texas,62,Team1,2018
Utah,69,WKU,64,Team1,2018
Penn St,75,Mississippi St,60,Team1,2018
IL Chicago,67,Liberty,51,Team1,2018
North Texas,69,San Francisco,55,Team1,2018
N Colorado,99,Sam Houston St,80,Team1,2018
Penn St,82,Utah,66,Team1,2018
North Texas,88,San Francisco,77,Team1,2018
N Colorado,76,IL Chicago,71,Team1,2018
Villanova,95,Kansas,79,Team1,2018
Michigan,69,Loyola-Chicago,57,Team1,2018
Villanova,79,Michigan,62,Team1,2018
