Team1_Pyth,Team1_Luck,Team1_SOS_Pyth,Team1_NCSOS_Pyth,Team2_Pyth,Team2_Luck,Team2_SOS_Pyth,Team2_NCSOS_Pyth
15.29,-0.032,9.18,-4.2,6.56,-0.008,-4.29,-2.62
15.29,-0.032,9.18,-4.2,-11.89,0.004,-12.17,1.47
15.29,-0.032,9.18,-4.2,18.92,0.039,1.38,1.99
15.29,-0.032,9.18,-4.2,13.59,0.061,-3.52,-2.94
15.29,-0.032,9.18,-4.2,29.17,0.024,13.68,5.77
15.29,-0.032,9.18,-4.2,8.74,0.023,-0.8,6.95
15.29,-0.032,9.18,-4.2,15.08,0.005,11.63,-2.69
15.29,-0.032,9.18,-4.2,15.54,0.031,12.63,7.84
15.29,-0.032,9.18,-4.2,5.58,0.055,-2.37,-5.71
15.29,-0.032,9.18,-4.2,15.15,-0.039,4.1,0.26
15.29,-0.032,9.18,-4.2,-4.31,0.07400000000000001,-8.25,6.55
15.29,-0.032,9.18,-4.2,26.05,-0.012,13.04,4.33
15.29,-0.032,9.18,-4.2,12.91,0.022,9.42,4.43
15.29,-0.032,9.18,-4.2,8.75,0.071,5.92,-6.09
15.29,-0.032,9.18,-4.2,6.27,0.045,0.37,-1.05
15.29,-0.032,9.18,-4.2,17.71,-0.033,3.63,-0.39
15.29,-0.032,9.18,-4.2,16.3,0.005,10.06,0.49
15.29,-0.032,9.18,-4.2,9.39,0.065,3.81,-0.63
15.29,-0.032,9.18,-4.2,26.98,0.038,10.58,1.36
15.29,-0.032,9.18,-4.2,26.75,0.004,8.31,-5.01
15.29,-0.032,9.18,-4.2,9.46,0.097,-3.93,1.82
15.29,-0.032,9.18,-4.2,14.58,0.029,3.61,-3.42
15.29,-0.032,9.18,-4.2,16.62,0.006999999999999999,0.01,1.14
15.29,-0.032,9.18,-4.2,15.69,0.004,1.15,3.49
15.29,-0.032,9.18,-4.2,8.71,0.056,-6.01,3.52
15.29,-0.032,9.18,-4.2,18.77,0.017,8.21,3.61
15.29,-0.032,9.18,-4.2,35.66,0.024,10.51,-2.82
15.29,-0.032,9.18,-4.2,24.47,0.002,8.61,-6.04
15.29,-0.032,9.18,-4.2,13.37,0.078,4.95,3.11
15.29,-0.032,9.18,-4.2,23.68,-0.026,13.57,3.56
15.29,-0.032,9.18,-4.2,20.72,0.06,1.37,8.41
15.29,-0.032,9.18,-4.2,8.58,0.057,-1.53,-1.9
13.08,0.041,-3.22,3.46,-0.36,0.04,-2.12,-3.8
13.08,0.041,-3.22,3.46,20.33,0.041,2.8,1.58
13.08,0.041,-3.22,3.46,17.05,0.06,4.2,-2.63
13.08,0.041,-3.22,3.46,4.29,0.021,-4.21,1.23
13.08,0.041,-3.22,3.46,31.99,0.018000000000000002,13.25,5.47
13.08,0.041,-3.22,3.46,-4.24,0.01,-8.74,-1.49
13.08,0.041,-3.22,3.46,18.33,-0.07200000000000001,11.65,5.4
13.08,0.041,-3.22,3.46,22.56,0.045,10.71,1.1
13.08,0.041,-3.22,3.46,-0.74,0.07,-4.52,-3.62
13.08,0.041,-3.22,3.46,5.6,0.126,0.94,4.06
13.08,0.041,-3.22,3.46,32.79,0.008,3.38,1.99
13.08,0.041,-3.22,3.46,22.43,0.057,3.16,-3.79
13.08,0.041,-3.22,3.46,-3.13,-0.025,-6.67,0.92
13.08,0.041,-3.22,3.46,15.96,0.057,10.57,-6.6
13.08,0.041,-3.22,3.46,21.85,-0.051,10.36,-1.45
13.08,0.041,-3.22,3.46,20.71,0.08800000000000001,13.89,10.99
13.08,0.041,-3.22,3.46,20.22,0.061,10.05,-0.5
13.08,0.041,-3.22,3.46,27.42,0.037000000000000005,11.03,2.26
13.08,0.041,-3.22,3.46,10.87,0.006,-4.56,-2.83
13.08,0.041,-3.22,3.46,20.97,-0.054000000000000006,13.0,6.05
13.08,0.041,-3.22,3.46,20.97,0.035,9.5,3.09
13.08,0.041,-3.22,3.46,18.42,0.006999999999999999,7.65,0.79
13.08,0.041,-3.22,3.46,19.98,0.001,11.08,-4.62
13.08,0.041,-3.22,3.46,29.44,-0.014,11.65,-4.94
13.08,0.041,-3.22,3.46,31.36,-0.006999999999999999,13.58,3.15
13.08,0.041,-3.22,3.46,14.46,0.08199999999999999,12.07,-2.78
13.08,0.041,-3.22,3.46,15.09,-0.018000000000000002,8.69,-0.77
13.08,0.041,-3.22,3.46,20.68,-0.027000000000000003,10.46,2.49
13.08,0.041,-3.22,3.46,3.55,0.057,-6.59,4.46
13.08,0.041,-3.22,3.46,13.34,0.033,-4.77,-1.01
13.08,0.041,-3.22,3.46,-3.2,0.052000000000000005,-3.07,3.73
13.08,0.041,-3.22,3.46,6.56,-0.008,-4.29,-2.62
13.08,0.041,-3.22,3.46,-11.89,0.004,-12.17,1.47
13.08,0.041,-3.22,3.46,18.92,0.039,1.38,1.99
13.08,0.041,-3.22,3.46,13.59,0.061,-3.52,-2.94
13.08,0.041,-3.22,3.46,29.17,0.024,13.68,5.77
13.08,0.041,-3.22,3.46,8.74,0.023,-0.8,6.95
13.08,0.041,-3.22,3.46,15.08,0.005,11.63,-2.69
13.08,0.041,-3.22,3.46,15.54,0.031,12.63,7.84
13.08,0.041,-3.22,3.46,5.58,0.055,-2.37,-5.71
13.08,0.041,-3.22,3.46,15.15,-0.039,4.1,0.26
13.08,0.041,-3.22,3.46,-4.31,0.07400000000000001,-8.25,6.55
13.08,0.041,-3.22,3.46,26.05,-0.012,13.04,4.33
13.08,0.041,-3.22,3.46,12.91,0.022,9.42,4.43
13.08,0.041,-3.22,3.46,8.75,0.071,5.92,-6.09
13.08,0.041,-3.22,3.46,6.27,0.045,0.37,-1.05
13.08,0.041,-3.22,3.46,17.71,-0.033,3.63,-0.39
13.08,0.041,-3.22,3.46,16.3,0.005,10.06,0.49
13.08,0.041,-3.22,3.46,9.39,0.065,3.81,-0.63
13.08,0.041,-3.22,3.46,26.98,0.038,10.58,1.36
13.08,0.041,-3.22,3.46,26.75,0.004,8.31,-5.01
13.08,0.041,-3.22,3.46,9.46,0.097,-3.93,1.82
13.08,0.041,-3.22,3.46,14.58,0.029,3.61,-3.42
13.08,0.041,-3.22,3.46,16.62,0.006999999999999999,0.01,1.14
13.08,0.041,-3.22,3.46,15.69,0.004,1.15,3.49
13.08,0.041,-3.22,3.46,8.71,0.056,-6.01,3.52
13.08,0.041,-3.22,3.46,18.77,0.017,8.21,3.61
13.08,0.041,-3.22,3.46,35.66,0.024,10.51,-2.82
13.08,0.041,-3.22,3.46,24.47,0.002,8.61,-6.04
13.08,0.041,-3.22,3.46,13.37,0.078,4.95,3.11
13.08,0.041,-3.22,3.46,23.68,-0.026,13.57,3.56
13.08,0.041,-3.22,3.46,20.72,0.06,1.37,8.41
13.08,0.041,-3.22,3.46,8.58,0.057,-1.53,-1.9
-0.36,0.04,-2.12,-3.8,20.33,0.041,2.8,1.58
-0.36,0.04,-2.12,-3.8,17.05,0.06,4.2,-2.63
-0.36,0.04,-2.12,-3.8,4.29,0.021,-4.21,1.23
-0.36,0.04,-2.12,-3.8,31.99,0.018000000000000002,13.25,5.47
-0.36,0.04,-2.12,-3.8,-4.24,0.01,-8.74,-1.49
-0.36,0.04,-2.12,-3.8,18.33,-0.07200000000000001,11.65,5.4
-0.36,0.04,-2.12,-3.8,22.56,0.045,10.71,1.1
-0.36,0.04,-2.12,-3.8,-0.74,0.07,-4.52,-3.62
-0.36,0.04,-2.12,-3.8,5.6,0.126,0.94,4.06
-0.36,0.04,-2.12,-3.8,32.79,0.008,3.38,1.99
-0.36,0.04,-2.12,-3.8,22.43,0.057,3.16,-3.79
-0.36,0.04,-2.12,-3.8,-3.13,-0.025,-6.67,0.92
-0.36,0.04,-2.12,-3.8,15.96,0.057,10.57,-6.6
-0.36,0.04,-2.12,-3.8,21.85,-0.051,10.36,-1.45
-0.36,0.04,-2.12,-3.8,20.71,0.08800000000000001,13.89,10.99
-0.36,0.04,-2.12,-3.8,20.22,0.061,10.05,-0.5
-0.36,0.04,-2.12,-3.8,27.42,0.037000000000000005,11.03,2.26
-0.36,0.04,-2.12,-3.8,10.87,0.006,-4.56,-2.83
-0.36,0.04,-2.12,-3.8,20.97,-0.054000000000000006,13.0,6.05
-0.36,0.04,-2.12,-3.8,20.97,0.035,9.5,3.09
-0.36,0.04,-2.12,-3.8,18.42,0.006999999999999999,7.65,0.79
-0.36,0.04,-2.12,-3.8,19.98,0.001,11.08,-4.62
-0.36,0.04,-2.12,-3.8,29.44,-0.014,11.65,-4.94
-0.36,0.04,-2.12,-3.8,31.36,-0.006999999999999999,13.58,3.15
-0.36,0.04,-2.12,-3.8,14.46,0.08199999999999999,12.07,-2.78
-0.36,0.04,-2.12,-3.8,15.09,-0.018000000000000002,8.69,-0.77
-0.36,0.04,-2.12,-3.8,20.68,-0.027000000000000003,10.46,2.49
-0.36,0.04,-2.12,-3.8,3.55,0.057,-6.59,4.46
-0.36,0.04,-2.12,-3.8,13.34,0.033,-4.77,-1.01
-0.36,0.04,-2.12,-3.8,-3.2,0.052000000000000005,-3.07,3.73
-0.36,0.04,-2.12,-3.8,6.56,-0.008,-4.29,-2.62
-0.36,0.04,-2.12,-3.8,-11.89,0.004,-12.17,1.47
-0.36,0.04,-2.12,-3.8,18.92,0.039,1.38,1.99
-0.36,0.04,-2.12,-3.8,13.59,0.061,-3.52,-2.94
-0.36,0.04,-2.12,-3.8,29.17,0.024,13.68,5.77
-0.36,0.04,-2.12,-3.8,8.74,0.023,-0.8,6.95
-0.36,0.04,-2.12,-3.8,15.08,0.005,11.63,-2.69
-0.36,0.04,-2.12,-3.8,15.54,0.031,12.63,7.84
-0.36,0.04,-2.12,-3.8,5.58,0.055,-2.37,-5.71
-0.36,0.04,-2.12,-3.8,15.15,-0.039,4.1,0.26
-0.36,0.04,-2.12,-3.8,-4.31,0.07400000000000001,-8.25,6.55
-0.36,0.04,-2.12,-3.8,26.05,-0.012,13.04,4.33
-0.36,0.04,-2.12,-3.8,12.91,0.022,9.42,4.43
-0.36,0.04,-2.12,-3.8,8.75,0.071,5.92,-6.09
-0.36,0.04,-2.12,-3.8,6.27,0.045,0.37,-1.05
-0.36,0.04,-2.12,-3.8,17.71,-0.033,3.63,-0.39
-0.36,0.04,-2.12,-3.8,16.3,0.005,10.06,0.49
-0.36,0.04,-2.12,-3.8,9.39,0.065,3.81,-0.63
-0.36,0.04,-2.12,-3.8,26.98,0.038,10.58,1.36
-0.36,0.04,-2.12,-3.8,26.75,0.004,8.31,-5.01
-0.36,0.04,-2.12,-3.8,9.46,0.097,-3.93,1.82
-0.36,0.04,-2.12,-3.8,14.58,0.029,3.61,-3.42
-0.36,0.04,-2.12,-3.8,16.62,0.006999999999999999,0.01,1.14
-0.36,0.04,-2.12,-3.8,15.69,0.004,1.15,3.49
-0.36,0.04,-2.12,-3.8,8.71,0.056,-6.01,3.52
-0.36,0.04,-2.12,-3.8,18.77,0.017,8.21,3.61
-0.36,0.04,-2.12,-3.8,35.66,0.024,10.51,-2.82
-0.36,0.04,-2.12,-3.8,24.47,0.002,8.61,-6.04
