Team1_Pyth,Team1_Luck,Team1_SOS_Pyth,Team1_NCSOS_Pyth,Team2_Pyth,Team2_Luck,Team2_SOS_Pyth,Team2_NCSOS_Pyth
11.21,0.046,4.81,1.8,27.42,0.037000000000000005,11.03,2.26
11.21,0.046,4.81,1.8,10.87,0.006,-4.56,-2.83
11.21,0.046,4.81,1.8,20.97,-0.054000000000000006,13.0,6.05
11.21,0.046,4.81,1.8,20.97,0.035,9.5,3.09
11.21,0.046,4.81,1.8,18.42,0.006999999999999999,7.65,0.79
11.21,0.046,4.81,1.8,19.98,0.001,11.08,-4.62
11.21,0.046,4.81,1.8,29.44,-0.014,11.65,-4.94
11.21,0.046,4.81,1.8,31.36,-0.006999999999999999,13.58,3.15
11.21,0.046,4.81,1.8,14.46,0.08199999999999999,12.07,-2.78
11.21,0.046,4.81,1.8,15.09,-0.018000000000000002,8.69,-0.77
11.21,0.046,4.81,1.8,20.68,-0.027000000000000003,10.46,2.49
11.21,0.046,4.81,1.8,3.55,0.057,-6.59,4.46
11.21,0.046,4.81,1.8,13.34,0.033,-4.77,-1.01
11.21,0.046,4.81,1.8,-3.2,0.052000000000000005,-3.07,3.73
11.21,0.046,4.81,1.8,6.56,-0.008,-4.29,-2.62
11.21,0.046,4.81,1.8,-11.89,0.004,-12.17,1.47
11.21,0.046,4.81,1.8,18.92,0.039,1.38,1.99
11.21,0.046,4.81,1.8,13.59,0.061,-3.52,-2.94
11.21,0.046,4.81,1.8,29.17,0.024,13.68,5.77
11.21,0.046,4.81,1.8,8.74,0.023,-0.8,6.95
11.21,0.046,4.81,1.8,15.08,0.005,11.63,-2.69
11.21,0.046,4.81,1.8,15.54,0.031,12.63,7.84
11.21,0.046,4.81,1.8,5.58,0.055,-2.37,-5.71
11.21,0.046,4.81,1.8,15.15,-0.039,4.1,0.26
11.21,0.046,4.81,1.8,-4.31,0.07400000000000001,-8.25,6.55
11.21,0.046,4.81,1.8,26.05,-0.012,13.04,4.33
11.21,0.046,4.81,1.8,12.91,0.022,9.42,4.43
11.21,0.046,4.81,1.8,8.75,0.071,5.92,-6.09
11.21,0.046,4.81,1.8,6.27,0.045,0.37,-1.05
11.21,0.046,4.81,1.8,17.71,-0.033,3.63,-0.39
11.21,0.046,4.81,1.8,16.3,0.005,10.06,0.49
11.21,0.046,4.81,1.8,9.39,0.065,3.81,-0.63
11.21,0.046,4.81,1.8,26.98,0.038,10.58,1.36
11.21,0.046,4.81,1.8,26.75,0.004,8.31,-5.01
11.21,0.046,4.81,1.8,9.46,0.097,-3.93,1.82
11.21,0.046,4.81,1.8,14.58,0.029,3.61,-3.42
11.21,0.046,4.81,1.8,16.62,0.006999999999999999,0.01,1.14
11.21,0.046,4.81,1.8,15.69,0.004,1.15,3.49
11.21,0.046,4.81,1.8,8.71,0.056,-6.01,3.52
11.21,0.046,4.81,1.8,18.77,0.017,8.21,3.61
11.21,0.046,4.81,1.8,35.66,0.024,10.51,-2.82
11.21,0.046,4.81,1.8,24.47,0.002,8.61,-6.04
11.21,0.046,4.81,1.8,13.37,0.078,4.95,3.11
11.21,0.046,4.81,1.8,23.68,-0.026,13.57,3.56
11.21,0.046,4.81,1.8,20.72,0.06,1.37,8.41
11.21,0.046,4.81,1.8,8.58,0.057,-1.53,-1.9
23.33,0.003,10.89,2.82,15.29,-0.032,9.18,-4.2
23.33,0.003,10.89,2.82,13.08,0.041,-3.22,3.46
23.33,0.003,10.89,2.82,-0.36,0.04,-2.12,-3.8
23.33,0.003,10.89,2.82,20.33,0.041,2.8,1.58
23.33,0.003,10.89,2.82,17.05,0.06,4.2,-2.63
23.33,0.003,10.89,2.82,4.29,0.021,-4.21,1.23
23.33,0.003,10.89,2.82,31.99,0.018000000000000002,13.25,5.47
